ID;NoD;TAP;LCP;SLC;DC;SDC;BC;CC;TZ;Class
ipxe/ipxe;150;1,52;0,263;289,5;0,0048;0,076;0,00007;67,54;15;
KDE/kdenlive;103;4,47;1,096;737;0,0081;0,168;0,000016;55,87;12;
apache/nifi;362;0,44;0,04;76,77;0,00006;0,15;0,00003;61,8;18;
coreboot/seabios;97;2,9;0,266;194,25;0,009;0,118;0,00026;50;14;
KDE/kbibtex;24;21,33;5,5;600,8;0,034;0,279;0,0001;13,66;5;
eclipse/leshan;39;6,3;0,63;98,8;0,02;0,216;0,00002;22,41;10;
open-power/skiboot;129;3,1;0,2955;108,9;0,005121;0,219052;0,00006;78,72;17;
composer;922;0,123;0,01;149,36;0,001;0,056;0,0000024;472;25;
block-explorer;8;13,25;10,14;202,98;0,11;0,25;0,0048;4,49;6;
KDE/kig;96;8,29;0,32;153,56;0,0073;0,14876;0,00003;49,14;9;
KDE/kio;266;197;5;75;0,003;0,164;0,000008;147;19;
KDE/kldap;66;0,124;15;38;0,008744;0,135;0,000007;29,94;6;
KDE/krdc;119;8,93;9,97;41,71;0,00534;0,101834;0,000001;55,911;10;
KDE/kscreen;50;18,3;46,44;57,87;0,015809;0,1812;0,00014;27,5;10;
KDE/ktnef;46;9,1;23;42,6;0,013;0,127;0,00003;19,74;6;
KDE/libkdepim;24;16,4;109,54;4,04;0,03712;0,20713;0,000141;13,15;6;
apache/mina-sshd;52;5,56;1,8;1066,8;0,0141;0,1585;0,000014;26,3;8;
python/mypy;340;3,5;0,28;238,6;0,002652;0,1084;0,0000004;179,59;19;
KDE/ocs-webserver;6;75,75;16,092;5239,103;1;0;0;1;3;
eclipse/paho,mqtt,java;58;5,51;1,72;426;0,0101;0,111222;0,0000015;24,96;13;
eclipse/xtext-xtend;53;11,15;1,85;204,67;0,009286;0,172097;0,0000012;29,15085;7;
rackerlabs/blueflood;46;16,11;2,7;1711,8;0,0086;0,1788;0,000019;25,19;9;
structr/structr;37;11,49;2,5;950,53;0,0236;0,2;0,000035;20,48;8;
spotify/helios;75;13,06;1,3;68,32;0,00996;0,209;0,0000038;43,07;11;
SonarSource/sonarqube;135;50,37;0,716;635,81;0,00561;0,1895;0,0000006;75,28;15;
Unidata/thredds;51;17,12;1,6;574,45;0,01156;0,20124;0,00001;27,86;14;
