ID;NoD;TAP;LCP;SLC;DC;SDC;BC;CC;TZ;Class
apache/mahut;44;15.95;2.2727;176.83;0.008447;0.163;0.000255;22;10;OK
apache/cassandra;348;7.3;0.2873;401;0.00218;0.18;0.00000003;194;20;OK
apache/lucene-solr;181;12.83;0.55;427;0.00328;0.223;0.00000029;105;19;OK
apache/pig;32;23.13;3.125;216;0.204;0.2145;0.00002;19;1;FAULT_PRONE
apache/jackrabbit;49;22;3.56;429.56;0.13;0.225;0.0000065;29;1;FAULT_PRONE
apache/jena;66;14.08;1.44;642;0.01222;0.1837;0.000028;37;15;FAULT_PRONE
eclipse/cdt;249;9.28;0.4;356.16;0.0027;0.1465;0.00000054;131;14;FAULT_PRONE
