;ID;NoD;TAP;LCP;SLC;DC;SDC;BC;CC;TZ;class
57;KDE/kwave;32;9.37;3.3;542.7;0.2844;0.19;2e-05;17.0;4;FAULT_PRONE
58;KDE/kdf;102;9.04;0.06;17.8;0.0047;0.0969;1.28e-06;45.0;6;FAULT_PRONE
59;KDEkrusader;57;13.7;1.8;221.0;0.01166;0.17600000000000002;5e-05;30.0;9;FAULT_PRONE
60;apachethrift;293;4.7;0.06;88.47;0.0029100000000000003;0.095;3e-08;150.0;21;FAULT_PRONE
61;apachewhimsy;29;18.9;5.6;597.0;0.0262;0.179;4e-05;15.0;10;FAULT_PRONE
62;apacheranger;67;20.51;0.6;81.79;0.0095;0.23800000000000002;2.2e-06;41.99;13;OK
63;kdek3b;148;15.9;0.28;257.0;0.0053479999999999995;0.129;2.9e-07;77.0;11;FAULT_PRONE
64;Apcheclimate;56;18.47;0.7;95.68;20.8;0.11;9.300000000000001e-05;24.7;9;FAULT_PRONE
65;Directmemory;10;22.13;6.4;120.33;0.0312;0.207;0.0049;7.37;1;FAULT_PRONE
66;Flue;28;16.87;1.2;79.5;0.0219;0.22699999999999998;0.0003;17.0;11;FAULT_PRONE
67;KDE/akonadi;213;12.3;2.46;232.0;0.0036;0.166;2e-05;117.0;14;OK
68;eclipse/hawkbit;45;4.8;1.1;126.6;0.01411;0.1815;0.000266;25.0;6;FAULT_PRONE
69;eclipse/hono;40;7.1;2.11;305.65;0.0151;0.439;1.9e-05;26.25;6;FAULT_PRONE
70;ipxe/ipxe;150;1.52;0.263;289.5;0.0048;0.076;7e-05;67.54;15;FAULT_PRONE
71;KDE/kdenlive;103;4.47;1.0959999999999999;737.0;0.0081;0.168;1.6e-05;55.87;12;OK
72;apache/nifi;362;0.44;0.04;76.77;5.9999999999999995e-05;0.15;2.9999999999999997e-05;61.8;18;FAULT_PRONE
73;coreboot/seabios;97;2.9;0.266;194.25;0.009000000000000001;0.11800000000000001;0.00026000000000000003;50.0;14;FAULT_PRONE
74;KDE/kbibtex;24;21.33;5.5;600.8;0.034;0.27899999999999997;0.0001;13.66;5;FAULT_PRONE
75;eclipse/leshan;39;6.3;0.63;98.8;0.02;0.21600000000000003;2e-05;22.41;10;FAULT_PRONE
76;open-power/skiboot;129;3.1;0.2955;108.9;0.005121;0.219052;5.9999999999999995e-05;78.72;17;OK
77;composer;922;0.12300000000000001;0.01;149.36;0.001;0.055999999999999994;2.4e-06;472.0;25;FAULT_PRONE
78;block-explorer;8;13.25;10.14;202.98;0.11;0.25;0.0048;4.49;6;FAULT_PRONE
79;KDE/kig;96;8.29;0.32;153.56;0.0073;0.14876;2.9999999999999997e-05;49.14;9;FAULT_PRONE
80;KDE/kio;266;197.0;5.0;75.0;0.003;0.16399999999999998;8e-06;147.0;19;OK
81;KDE/kldap;66;0.124;15.0;38.0;0.008744;0.135;7.000000000000001e-06;29.94;6;FAULT_PRONE
82;KDE/krdc;119;8.93;9.97;41.71;0.00534;0.10183400000000001;1e-06;55.911;10;FAULT_PRONE
83;KDE/kscreen;50;18.3;46.44;57.87;0.015809;0.1812;0.00014;27.5;10;FAULT_PRONE
84;KDE/ktnef;46;9.1;23.0;42.6;0.013000000000000001;0.127;2.9999999999999997e-05;19.74;6;FAULT_PRONE
85;KDE/libkdepim;24;16.4;109.54;4.04;0.03712;0.20713;0.00014099999999999998;13.15;6;FAULT_PRONE
86;apache/mina-sshd;52;5.56;1.8;1066.8;0.0141;0.1585;1.4000000000000001e-05;26.3;8;FAULT_PRONE
87;python/mypy;340;3.5;0.28;238.6;0.002652;0.1084;4e-07;179.59;19;FAULT_PRONE
88;KDE/ocs-webserver;6;75.75;16.092;5239.103;1.0;0.0;0.0;1.0;3;FAULT_PRONE
89;eclipse/paho.mqtt.java;58;5.51;1.72;426.0;0.0101;0.111222;1.5e-06;24.96;13;FAULT_PRONE
90;eclipse/xtext-xtend;53;11.15;1.85;204.67;0.009285999999999999;0.172097;1.2e-06;29.15085;7;OK
91;rackerlabs/blueflood;46;16.11;2.7;1711.8;0.0086;0.1788;1.9e-05;25.19;9;OK
92;structr/structr;37;11.49;2.5;950.53;0.0236;0.2;3.5e-05;20.48;8;FAULT_PRONE
93;spotify/helios;75;13.06;1.3;68.32;0.00996;0.209;3.8e-06;43.07;11;OK
94;SonarSource/sonarqube;135;50.37;0.716;635.81;0.00561;0.1895;6e-07;75.28;15;OK
95;Unidata/thredds;51;17.12;1.6;574.45;0.011559999999999999;0.20124;1e-05;27.86;14;FAULT_PRONE
