language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=12.81 s (286.0 files/s 57959.2 lines/s)"
Python,./nova/nova/tests/unit/virt/vmwareapi/fake.py,336,182,1172
Python,./nova/nova/tests/unit/api/openstack/compute/test_volume_attachments.py,149,76,1169
Python,./nova/nova/tests/unit/api/openstack/compute/test_services.py,140,72,1158
Python,./nova/nova/api/openstack/compute/servers.py,164,247,1156
Python,./nova/nova/tests/unit/policies/test_servers.py,148,189,1153
Python,./nova/nova/virt/vmwareapi/vm_util.py,301,225,1143
Python,./nova/nova/tests/unit/network/test_os_vif_util.py,132,22,1140
Python,./nova/nova/tests/functional/test_report_client.py,127,324,1130
Python,./nova/nova/tests/unit/compute/test_rpcapi.py,141,121,1094
Python,./nova/nova/tests/unit/api/openstack/compute/test_server_actions.py,241,39,1064
Python,./nova/nova/tests/unit/objects/test_objects.py,207,125,1063
Python,./nova/nova/api/openstack/compute/schemas/servers.py,80,131,1021
Python,./nova/nova/tests/unit/volume/test_cinder.py,236,87,1004
Python,./nova/nova/tests/unit/virt/libvirt/test_migration.py,164,603,985
Python,./nova/nova/tests/unit/api/openstack/compute/test_quotas.py,129,38,961
Python,./nova/nova/compute/utils.py,255,427,953
Python,./nova/nova/tests/functional/libvirt/test_numa_servers.py,336,371,933
Python,./nova/nova/tests/unit/network/test_network_info.py,177,252,929
Python,./nova/nova/tests/functional/integrated_helpers.py,243,315,917
Python,./nova/nova/tests/functional/api_sample_tests/test_servers.py,195,87,912
reStructuredText,./nova/nova/api/openstack/compute/rest_api_version_history.rst,349,47,906
Python,./nova/nova/objects/fields.py,421,161,903
Python,./nova/nova/compute/rpcapi.py,168,516,902
Python,./nova/nova/virt/libvirt/imagebackend.py,217,324,873
Python,./nova/nova/api/openstack/compute/extension_info.py,14,18,857
Python,./nova/nova/tests/unit/conductor/tasks/test_live_migrate.py,93,76,833
Python,./nova/nova/db/main/models.py,186,215,831
Python,./nova/nova/tests/unit/api/openstack/compute/test_flavors.py,110,33,831
PHP,./nova/api-ref/source/servers.inc,215,0,828
Python,./nova/nova/tests/unit/pci/test_manager.py,106,86,828
Python,./nova/nova/objects/request_spec.py,170,554,827
SVG,./nova/doc/source/admin/figures/SCH_5009_V00_NUAC-VNC_OpenStack.svg,2,1,821
Python,./nova/nova/tests/unit/objects/test_pci_device.py,141,52,817
Python,./nova/nova/tests/unit/test_api_validation.py,214,40,808
JSON,./nova/doc/api_samples/extension-info/extensions-list-resp-v21-compatible.json,0,0,804
PHP,./nova/api-ref/source/servers-actions.inc,433,0,802
Python,./nova/nova/virt/fake.py,188,186,798
reStructuredText,./nova/api-guide/source/server_concepts.rst,246,58,797
reStructuredText,./nova/doc/source/admin/scheduling.rst,385,298,797
JSON,./nova/doc/api_samples/extension-info/extensions-list-resp.json,0,0,796
Python,./nova/nova/tests/fixtures/neutron.py,84,103,781
Python,./nova/nova/tests/functional/test_server_group.py,223,168,761
Python,./nova/nova/tests/unit/api/openstack/test_wsgi.py,175,42,757
Python,./nova/nova/tests/unit/virt/test_virt_drivers.py,151,72,754
Python,./nova/nova/scheduler/utils.py,238,532,750
Python,./nova/nova/tests/unit/test_block_device.py,100,25,740
Python,./nova/nova/tests/unit/virt/vmwareapi/test_volumeops.py,116,13,740
XML,./nova/doc/source/_static/images/nova-spec-process.graphml,0,1,737
SVG,./nova/doc/source/admin/figures/serial-console-flow.svg,1,1,733
Python,./nova/nova/image/glance.py,209,380,732
YAML,./nova/.zuul.yaml,23,161,726
Python,./nova/nova/tests/unit/virt/libvirt/test_guest.py,160,281,714
Python,./nova/nova/api/openstack/compute/routes.py,127,58,713
Python,./nova/nova/virt/block_device.py,155,185,698
Python,./nova/nova/tests/functional/test_cross_cell_migrate.py,126,386,692
Python,./nova/nova/tests/functional/test_aggregates.py,185,237,688
Python,./nova/nova/tests/unit/virt/libvirt/test_utils.py,117,129,680
Python,./nova/nova/tests/unit/console/test_websocketproxy.py,137,56,679
Python,./nova/nova/utils.py,259,315,675
reStructuredText,./nova/doc/source/contributor/process.rst,209,25,637
Python,./nova/nova/conductor/tasks/cross_cell_migrate.py,179,653,635
Python,./nova/nova/scheduler/host_manager.py,132,217,628
Python,./nova/nova/tests/unit/api/openstack/compute/test_aggregates.py,128,28,628
Python,./nova/nova/tests/unit/scheduler/test_request_filter.py,75,48,625
Python,./nova/nova/tests/unit/api/openstack/fakes.py,154,22,621
Python,./nova/nova/tests/unit/api/openstack/compute/test_server_groups.py,124,55,617
SVG,./nova/doc/source/_static/images/rpc-flow-1.svg,2,1,614
PO File,./nova/releasenotes/source/locale/ko_KR/LC_MESSAGES/releasenotes.po,294,3,612
Python,./nova/nova/tests/unit/objects/test_compute_node.py,82,63,610
Python,./nova/nova/api/validation/extra_specs/hw.py,13,17,606
Python,./nova/nova/quota.py,225,646,599
Python,./nova/nova/virt/driver.py,374,1113,598
